lat,lon,timezone,state,finalCategory,displayValue,hourlyCategories,weather
26.75,-80.75,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / definitely · thunderstorms · none · none / definitely · thunderstorms · none · none
26.75,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / definitely · thunderstorms · none · none / definitely · thunderstorms · none · none
26.75,-80.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-82.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27,-81.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-81.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-81,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-80.75,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / definitely · thunderstorms · none · none
27,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27,-80.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.25,-82.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.25,-82.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / widespread · rain showers · moderate · none
27.25,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / widespread · rain showers · moderate · none
27.25,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.25,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.25,-81.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.25,-81,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.25,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.25,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.25,-80.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.5,-82.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.5,-82.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / widespread · rain showers · moderate · none
27.5,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / widespread · rain showers · moderate · none
27.5,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.5,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.5,-81.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.5,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.5,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.5,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.75,-82.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
27.75,-82.25,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
27.75,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
27.75,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
27.75,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.75,-81.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
27.75,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.75,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
27.75,-80.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28,-82.75,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28,-82.25,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28,-82,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
28,-81.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
28,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-82.75,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28.25,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28.25,-82.25,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28.25,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
28.25,-81.75,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
28.25,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.25,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.5,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
28.5,-82.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
28.5,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
28.5,-81.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.5,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.5,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.5,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.5,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.75,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
28.75,-82.25,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
28.75,-82,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / isolated · thunderstorms · none · none / numerous · rain showers · moderate · none / numerous · rain showers · moderate · none
28.75,-81.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.75,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.75,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.75,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
28.75,-80.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29,-82.75,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
29,-82.5,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
29,-82.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / definitely · thunderstorms · none · none
29,-82,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29,-81.75,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29,-81,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
29.25,-91.25,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.25,-91,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · rain showers · light · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.25,-90.75,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.25,-90.25,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.25,-90,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.25,-89.5,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.25,-89.25,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / slight chance · thunderstorms · none · none
29.25,-83,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
29.25,-82.75,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
29.25,-82.5,America/New_York,FL,0,0,0|0|0|0,isolated · thunderstorms · none · none / scattered · rain showers · moderate · none / numerous · rain showers · moderate · none
29.25,-82.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.25,-82,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
29.25,-81.75,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
29.25,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · rain showers · moderate · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29.25,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29.5,-91.25,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none / definitely · rain showers · moderate · none
29.5,-91,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / definitely · rain showers · moderate · none / definitely · rain showers · moderate · none / likely · thunderstorms · none · none
29.5,-90.75,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / definitely · rain showers · moderate · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29.5,-90.5,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29.5,-90.25,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.5,-90,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / slight chance · thunderstorms · none · none
29.5,-89.75,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / slight chance · thunderstorms · none · none
29.5,-83.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.5,-83,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.5,-82.75,America/New_York,FL,0,0,0|0|0|0,scattered · rain showers · moderate · none / scattered · rain showers · moderate · none
29.5,-82.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.5,-82.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.5,-82,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
29.5,-81.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
29.5,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / likely · thunderstorms · none · none
29.5,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-91.5,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29.75,-91.25,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none / definitely · rain showers · moderate · none
29.75,-91,America/Chicago,LA,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / definitely · rain showers · moderate · none / definitely · rain showers · moderate · none
29.75,-90.75,America/Chicago,LA,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / definitely · rain showers · moderate · none / definitely · rain showers · moderate · none
29.75,-90.5,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
29.75,-90.25,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-90,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / likely · thunderstorms · none · none / chance · thunderstorms · none · none / slight chance · thunderstorms · none · none
29.75,-89.75,America/Chicago,LA,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-89.5,America/Chicago,LA,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none
29.75,-85.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none
29.75,-85,America/New_York,FL,0,0,0|0|0|0,
29.75,-83.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-83.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-83,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-82.75,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-82.5,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-82.25,America/New_York,FL,0,0,0|0|0|0,slight chance · thunderstorms · none · none / slight chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-82,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-81.75,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-81.5,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
29.75,-81.25,America/New_York,FL,0,0,0|0|0|0,chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none / chance · thunderstorms · none · none
30,-91.5,America/Chicago,LA,0,0,0|0|0|0,slight chance · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
30,-91.25,America/Chicago,LA,0,0,0|0|0|0,likely · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
30,-91,America/Chicago,LA,0,0,0|0|0|0,likely · thunderstorms · none · none / likely · thunderstorms · none · none / likely · thunderstorms · none · none
